INSERT dbo.HOCSINH (MaHS, HoTenHS, NgaySinh, DiaChi, GioiTinh, MatKhau, Email, SDT)
VALUES
('HS001', N'Vũ Thái An', '2005-10-24', N'Ninh Bình', N'Nam', 'vuthaian', 'VuThaiAn@gmail.com', '0391851904'),
('HS076', N'Trần Ngọc Đông', '2004-01-29', N'Hòa Bình', N'Nam', 'tranngocdong', 'TranNgocDong@gmail.com', '0484570691'),
('HS077', N'Nguyễn Văn Hà', '2004-05-27', N'Hà Nội', N'Nam', 'nguyenvanha', 'NguyenVanHa@gmail.com', '0638226305'),
('HS078', N'Phạm Hữu Hoàng', '2004-10-17', N'Vĩnh Long', N'Nam', 'phamhuuhoang', 'PhamHuuHoang@gmail.com', '0969385410'),
('HS079', N'Phạm Thị Lan', '2004-12-03', N'Thanh Hóa', N'Nữ', 'phamthilan', 'PhamThiLan@gmail.com', '0839380547'),
('HS080', N'Trịnh Duy Khôi', '2004-07-02', N'Tiền Giang', N'Nam', 'trinhduykhoi', 'TrinhDuyKhoi@gmail.com', '0602132303'),
('HS081', N'Lê Văn Phú', '2004-06-24', N'Hà Nội', N'Nam', 'levanphu', 'LeVanPhu@gmail.com', '0982817923'),
('HS082', N'Nguyễn Đăng Quang', '2004-09-04', N'Phú Thọ', N'Nam', 'nguyendangquang', 'NguyenDangQuang@gmail.com', '0819905086'),
('HS083', N'Cao Quang Son', '2004-10-30', N'Thanh Hóa', N'Nam', 'caoquangson', 'CaoQuangSon@gmail.com', '0234867970'),
('HS084', N'Nguyễn Thị Thanh Thúy', '2004-04-10', N'Vĩnh Long', N'Nữ', 'nguyenthithanhthuy', 'NguyenThiThanhThuy@gmail.com', '0272708143'),
('HS085', N'Lê Văn Tú', '2004-03-27', N'Thanh Hóa', N'Nam', 'levantu', 'LeVanTu@gmail.com', '0791145773'),
('HS086', N'Đặng Tuấn Anh', '2004-12-08', N'Yên Bái', N'Nam', 'dangtuananh', 'DangTuanAnh@gmail.com', '0869715617'),
('HS087', N'Đặng Đình Hiếu', '2004-01-26', N'Phú Thọ', N'Nam', 'dangdinhhieu', 'DangDinhHieu@gmail.com', '0812494764'),
('HS088', N'Trần Văn Chí Công', '2004-05-16', N'Hưng Yên', N'Nam', 'tranvanchicong', 'TranVanChiCong@gmail.com', '0011176238'),
('HS089', N'Nguyễn Văn Công', '2004-11-05', N'Ninh Bình', N'Nam', 'nguyenvancong', 'NguyenVanCong@gmail.com', '0408819410'),
('HS090', N'Nguyễn Thị Mai', '2004-11-04', N'Thái Bình', N'Nữ', 'nguyenthimai', 'NguyenThiMai@gmail.com', '0056708133'),
('HS091', N'Phạm Việt Anh', '2004-07-11', N'Hải Phòng', N'Nam', 'phamvietanh', 'PhamVietAnh@gmail.com', '0029747165'),
('HS092', N'Đỗ Gia Bảo', '2004-11-18', N'Hải Dương', N'Nam', 'dogiabao', 'DoGiaBao@gmail.com', '0168357610'),
('HS093', N'Trần Thị Minh Châu', '2004-01-02', N'Sơn La', N'Nữ', 'tranthiminhchau', 'TranThiMinhChau@gmail.com', '0890208361'),
('HS094', N'Tăng Phương Chi', '2004-04-14', N'Bắc Cạn', N'Nữ', 'tangphuongchi', 'TangPhuongChi@gmail.com', '0730294210'),
('HS095', N'Phạm Tiến Dũng', '2004-07-10', N'Thái Nguyên', N'Nam', 'phamtiendung', 'PhamTienDung@gmail.com', '0865174424'),
('HS096', N'Nguyễn Thái Dương', '2004-03-26', N'Tuyên Quang', N'Nam', 'nguyenthaiduong', 'NguyenThaiDuong@gmail.com', '0160809733'),
('HS097', N'Trần An Dương', '2004-11-18', N'Phú Thọ', N'Nữ', 'trananduong', 'TranAnDuong@gmail.com', '0282137643'),
('HS098', N'Mạc Văn Việt', '2004-07-22', N'Hưng Yên', N'Nam', 'macvanviet', 'MacVanViet@gmail.com', '0496304774'),
('HS099', N'Bàn Thị Trang', '2004-02-11', N'Thái Bình', N'Nữ', 'banthitrang', 'BanThiTrang@gmail.com', '0562687420'),
('HS100', N'Nguyễn Văn Thiên', '2004-07-25', N'Ninh Bình', N'Nam', 'nguyenvanthien', 'NguyenVanThien@gmail.com', '0082146102'),
('HS101', N'Lê Thị Hợi', '2004-07-22', N'Thanh Hóa', N'Nữ', 'lethihoi', 'LeThiHoi@gmail.com', '0773743093'),
('HS102', N'Phạm Văn Cường', '2004-01-15', N'Nghệ An', N'Nam', 'phamvancuong', 'PhamVanCuong@gmail.com', '0776612426'),
('HS103', N'Khoa Năng Tùng', '2004-09-15', N'Hà Nội', N'Nam', 'khoanangtung', 'KhoaNangTung@gmail.com', '0060461755'),
('HS104', N'Nguyễn Hữu Dũng', '2004-03-16', N'Quảng Ninh', N'Nam', 'nguyenhuudung', 'NguyenHuuDung@gmail.com', '0134020190'),
('HS105', N'Lê Thành Đạt', '2004-05-21', N'Hà Nam', N'Nam', 'lethanhdat', 'LeThanhDat@gmail.com', '0182958474'),
('HS106', N'Nguyễn Thị Hương', '2004-12-12', N'Hưng Yên', N'Nữ', 'nguyenthihuong', 'NguyenThiHuong@gmail.com', '0447972003'),
('HS107', N'Bùi Thị Khánh', '2004-07-05', N'Ninh Bình', N'Nữ', 'buithikhanh', 'BuiThiKhanh@gmail.com', '0230198796'),
('HS108', N'Nguyễn Nhật Linh', '2004-01-20', N'Hà Giang', N'Nữ', 'nguyennhatlinh', 'NguyenNhatLinh@gmail.com', '0875541224'),
('HS109', N'Bùi Phạm Vân Anh', '2004-12-23', N'Hà Tĩnh', N'Nữ', 'buiphamvananh', 'BuiPhamVanAnh@gmail.com', '0311199731'),
('HS110', N'Lê Quang Minh', '2004-05-26', N'Vĩnh Phúc', N'Nam', 'lequangminh', 'LeQuangMinh@gmail.com', '0815291796'),
('HS111', N'Nguyễn Thị Thu Hằng', '2004-10-28', N'Thanh Hóa', N'Nữ', 'nguyenthithuhang', 'NguyenThiThuHang@gmail.com', '0908316260'),
('HS112', N'Cao Thị Phương Thảo', '2004-04-13', N'Hải Phòng', N'Nữ', 'caothiphuongthao', 'CaoThiPhuongThao@gmail.com', '0889575768'),
('HS113', N'Trần Việt Yên', '2004-12-13', N'Ninh Bình', N'Nữ', 'tranvietyen', 'TranVietYen@gmail.com', '0203145697'),
('HS114', N'Bùi Văn Quân', '2004-12-25', N'Hà Nội', N'Nam', 'buivanquan', 'BuiVanQuan@gmail.com', '0057475422'),
('HS115', N'Nguyễn Thị Hồng', '2004-07-13', N'Phú Thọ', N'Nữ', 'nguyenthihong', 'NguyenThiHong@gmail.com', '0500493985'),
('HS116', N'Tô Sỹ Ngọc', '2004-08-28', N'Hưng Yên', N'Nam', 'tosyngoc', 'ToSyNgoc@gmail.com', '0223043258'),
('HS117', N'Vũ Duy Phương', '2004-04-29', N'Ninh Bình', N'Nam', 'vuduyphuong', 'VuDuyPhuong@gmail.com', '0285261810'),
('HS118', N'Phạm Thị Thanh Thúy', '2004-06-07', N'Nam Định', N'Nữ', 'phamthithanhthuy', 'PhamThiThanhThuy@gmail.com', '0240305226'),
('HS119', N'Nguyễn Thị Thanh Mai', '2004-11-02', N'Sơn La', N'Nữ', 'nguyenthithanhmai', 'NguyenThiThanhMai@gmail.com', '0870025047'),
('HS120', N'Trịnh Đình Minh', '2004-01-16', N'Bắc Giang', N'Nam', 'trinhdinhminh', 'TrinhDinhMinh@gmail.com', '0401412624'),
('HS121', N'Đinh Thúy Hằng', '2003-11-07', N'Thái Nguyên', N'Nữ', 'dinhthuyhang', 'DinhThuyHang@gmail.com', '0633958264'),
('HS122', N'Phạm Ngọc Thạch', '2003-01-20', N'Nghệ An', N'Nam', 'phamngocthach', 'PhamNgocThach@gmail.com', '0481772647'),
('HS123', N'Trần Diệu Lê', '2003-10-27', N'Thái Bình', N'Nữ', 'trandieule', 'TranDieuLe@gmail.com', '0826922430'),
('HS124', N'Nguyễn Thế Tài', '2003-09-18', N'Ninh Bình', N'Nam', 'nguyenthetai', 'NguyenTheTai@gmail.com', '0982878168'),
('HS125', N'Phạm Văn Nam', '2003-10-23', N'Tuyên Quang', N'Nam', 'phamvannam', 'PhamVanNam@gmail.com', '0391185166'),
('HS126', N'Đinh Trọng Hiệp', '2003-01-21', N'Phú Thọ', N'Nam', 'dinhtronghiep', 'DinhTrongHiep@gmail.com', '0562877589'),
('HS127', N'Nguyễn Mạnh Hùng', '2003-11-21', N'Hà Nam', N'Nam', 'nguyenmanhhung', 'NguyenManhHung@gmail.com', '0760042727'),
('HS128', N'Đỗ Văn Tấn', '2003-08-27', N'Hưng Yên', N'Nam', 'dovantan', 'DoVanTan@gmail.com', '0161361335'),
('HS129', N'Dương Văn Dần', '2003-06-17', N'Vĩnh Phúc', N'Nam', 'duongvandan', 'DuongVanDan@gmail.com', '0563085587'),
('HS130', N'Nguyễn Đức Trọng', '2003-04-06', N'Ninh Bình', N'Nam', 'nguyenductrong', 'NguyenDucTrong@gmail.com', '0711528839'),
('HS131', N'Hoàng Đại Thắng', '2003-07-28', N'Hà Tĩnh', N'Nam', 'hoangdaithang', 'HoangDaiThang@gmail.com', '0824946800'),
('HS132', N'Nguyễn Văn Chung', '2003-03-30', N'Ninh Bình', N'Nam', 'nguyenvanchung', 'NguyenVanChung@gmail.com', '0520144191'),
('HS133', N'Ngô Văn Hiệp', '2003-10-21', N'Lạng Sơn', N'Nam', 'ngovanhiep', 'NgoVanHiep@gmail.com', '0678555491'),
('HS134', N'Mai Văn Bình', '2003-01-24', N'Hòa Bình', N'Nam', 'maivanbinh', 'MaiVanBinh@gmail.com', '0653243250'),
('HS135', N'Hà Hồng Nhung', '2003-10-31', N'Ninh Bình', N'Nữ', 'hahongnhung', 'HaHongNhung@gmail.com', '0152718506'),
('HS136', N'Trần Đức Trung', '2003-10-29', N'Hải Dương', N'Nam', 'tranductrung', 'TranDucTrung@gmail.com', '0666633725'),
('HS137', N'Trần Hoài Phương', '2003-09-03', N'Quảng Ninh', N'Nữ', 'tranhoaiphuong', 'TranHoaiPhuong@gmail.com', '0037854414'),
('HS138', N'Lê Văn Phương', '2003-08-11', N'Thái Nguyên', N'Nam', 'levanphuong', 'LeVanPhuong@gmail.com', '0727799304'),
('HS139', N'Bùi Mạnh Hùng', '2003-01-23', N'Phú Thọ', N'Nam', 'buimanhhung', 'BuiManhHung@gmail.com', '0885094973'),
('HS140', N'Trần Minh Anh', '2003-02-25', N'Hà Tĩnh', N'Nữ', 'tranminhanh', 'TranMinhAnh@gmail.com', '0491041712'),
('HS141', N'Phạm Gia Mạnh', '2003-10-31', N'Nam Định', N'Nam', 'phamgiamanh', 'PhamGiaManh@gmail.com', '0320829388'),
('HS142', N'Lê Thế Nhật', '2003-10-02', N'Hưng Yên', N'Nam', 'lethenhat', 'LeTheNhat@gmail.com', '0896733884'),
('HS143', N'Đào Cẩm Vân', '2003-01-07', N'Hà Tĩnh', N'Nữ', 'daocamvan', 'DaoHongCam@gmail.com', '0903397002'),
('HS144', N'Nguyễn Danh Phúc', '2003-09-16', N'Bắc Ninh', N'Nam', 'nguyendanhphuc', 'NguyenDanhPhuc@gmail.com', '0267598607'),
('HS145', N'Trần Trung Dũng', '2003-05-09', N'Lào Cai', N'Nam', 'trantrungdung', 'TranTrungDung@gmail.com', '0305561607'),
('HS146', N'Nguyễn Ngọc Thảo', '2003-05-05', N'Thái Bình', N'Nữ', 'nguyenngocthao', 'NguyenNgocThao@gmail.com', '0676816771'),
('HS147', N'Đặng Văn Toán', '2003-11-04', N'Hà Nam', N'Nam', 'dangvantoan', 'DangVanToan@gmail.com', '0803372711'),
('HS148', N'Nguyễn Văn Trường', '2003-08-25', N'Hưng Yên', N'Nam', 'nguyenvantruong', 'NguyenVanTruong@gmail.com', '0020802558'),
('HS149', N'Dương Văn Hà', '2003-11-15', N'Ninh Bình', N'Nam', 'duongvanha', 'DuongVanHa@gmail.com', '0833268932'),
('HS150', N'Nguyễn Thế Trường', '2003-08-06', N'Tuyên Quang', N'Nam', 'nguyenthetruong', 'NguyenTheTruong@gmail.com', '0535182679'),
('HS151', N'Nguyễn Văn Hà', '2003-09-25', N'Hà Nội', N'Nam', 'nguyenvanha', 'NguyenVanHa@gmail.com', '0392385957'),
('HS152', N'Hoàng Tiến Dũng', '2003-11-19', N'Thái Bình', N'Nam', 'hoangtiendung', 'HoangTienDung@gmail.com', '0787335883'),
('HS153', N'Vũ Hữu Thiện', '2003-08-21', N'Phú Thọ', N'Nam', 'vuhuuthien', 'VuHuuThien@gmail.com', '0763543917'),
('HS154', N'Lê Hữu Công', '2003-08-10', N'Vĩnh Phúc', N'Nam', 'lehuucong', 'LeHuuCong@gmail.com', '0594812315'),
('HS155', N'Nguyễn Mạnh Hùng', '2003-01-03', N'Thái Nguyên', N'Nam', 'nguyenmanhhung', 'NguyenManhHung@gmail.com', '0555721115'),
('HS156', N'Phạm Thị Bích Ngọc', '2003-12-02', N'Hà Tĩnh', N'Nữ', 'phamthibichngoc', 'PhamThiBichNgoc@gmail.com', '0529939881'),
('HS157', N'Nguyễn Thị Thúy', '2003-05-16', N'Ninh Bình', N'Nữ', 'nguyenthithuy', 'NguyenThiThuy@gmail.com', '0685836746'),
('HS158', N'Trần Thị Hường', '2003-11-17', N'Hưng Yên', N'Nữ', 'tranthihuong', 'TranThiHuong@gmail.com', '0296402023'),
('HS159', N'Phạm Thị Phượng', '2003-10-22', N'Tuyên Quang', N'Nữ', 'phamthiphuong', 'PhamThiPhuong@gmail.com', '0704232749'),
('HS160', N'Nguyễn Thị Bích Thúy', '2003-08-07', N'Nghệ An', N'Nữ', 'nguyenthibichthuy', 'NguyenThiBichThuy@gmail.com', '0756493162'),
('HS161', N'Vũ Thị Vân Hường', '2003-08-18', N'Hà Giang', N'Nữ', 'vuthivanhuong', 'VuThiVanHuong@gmail.com', '0961898582'),
('HS162', N'Đoàn Thị Thu Huyền', '2003-07-03', N'Ninh Bình', N'Nữ', 'doanthithuhuyen', 'DoanThiThuHuyen@gmail.com', '0901790608'),
('HS163', N'Vũ Thị Kim Chung', '2003-01-25', N'Hải Dương', N'Nữ', 'vuthikimchung', 'VuThiKimChung@gmail.com', '0744309608'),
('HS164', N'Nguyễn Thu Hương', '2003-09-17', N'Thái Nguyên', N'Nữ', 'nguyenthuhuong', 'NguyenThuHuong@gmail.com', '0080333906'),
('HS165', N'Nguyễn Thị Hương', '2003-01-11', N'Thanh Hóa', N'Nữ', 'nguyenthihuong', 'NguyenThiHuong@gmail.com', '0190575083'),
('HS166', N'Vũ Văn Hưng', '2003-12-02', N'Thái Bình', N'Nam', 'vuvanhung', 'VuVanHung@gmail.com', '0806588432'),
('HS167', N'Vũ Thị Phương Mai', '2003-07-05', N'Nghệ An', N'Nữ', 'vuthiphuongmai', 'VuThiPhuongMai@gmail.com', '0765229040'),
('HS168', N'Nguyễn Thị Thắm', '2003-02-27', N'Hà Nội', N'Nữ', 'nguyenthitham', 'NguyenThiTham@gmail.com', '0266778441'),
('HS169', N'Ngô Thị Minh Thư', '2003-08-21', N'Cao Bằng', N'Nữ', 'ngothiminhthu', 'NgoThiMinhThu@gmail.com', '0816922589'),
('HS170', N'Nguyễn Thị Hằng Nga', '2003-11-02', N'Hòa Bình', N'Nữ', 'nguyenthihangnga', 'NguyenThiHangNga@gmail.com', '0149189114'),
('HS171', N'Nguyễn Diệu Hương', '2003-06-05', N'Hòa Bình', N'Nữ', 'nguyendieuhuong', 'NguyenDieuHuong@gmail.com', '0086052581'),
('HS172', N'Nguyễn Thu Hoài', '2003-08-04', N'Vĩnh Phúc', N'Nữ', 'nguyenthuhoai', 'NguyenThuHoai@gmail.com', '0713713662'),
('HS173', N'Nguyễn Thị Lý', '2003-08-19', N'Thanh Hóa', N'Nữ', 'nguyenthily', 'NguyenThiLy@gmail.com', '0683373080'),
('HS174', N'Hoàng Thị Hương', '2003-10-31', N'Ninh Bình', N'Nữ', 'hoangthihuong', 'HoangThiHuong@gmail.com', '0007665446'),
